Date,Open,High,Low,Close,Adj Close,Volume
2009-05-20,23.690001,25.995001,23.655001,25.995001,23.267311,1114640
2009-05-21,25.850000,26.924999,25.850000,26.225000,23.473177,603977
2009-05-22,26.110001,26.219999,24.240000,24.480000,21.911280,391536
2009-05-25,24.805000,24.955000,24.190001,24.764999,22.166374,126980
2009-05-26,24.565001,24.605000,23.900000,24.165001,21.629333,252843
2009-05-27,24.450001,24.930000,24.049999,24.340000,21.785967,248071
2009-05-28,23.700001,24.004999,23.510000,23.514999,21.047539,307425
2009-05-29,23.830000,23.860001,22.959999,23.815001,21.316061,1333236
2009-06-01,23.969999,24.500000,23.945000,24.450001,21.884428,180245
2009-06-02,24.459999,24.799999,24.400000,24.660000,22.072393,133149
2009-06-03,24.670000,24.969999,24.594999,24.719999,22.126093,283289
2009-06-04,24.879999,24.940001,24.145000,24.445000,21.879955,396252
2009-06-05,24.485001,24.900000,24.325001,24.600000,22.018690,287845
2009-06-08,24.440001,24.440001,23.469999,23.600000,21.123619,250695
2009-06-09,23.549999,24.000000,23.459999,23.500000,21.034115,437950
2009-06-10,23.830000,25.070000,23.690001,24.500000,21.929182,865956
2009-06-11,24.530001,25.299999,24.500000,25.084999,22.452795,534612
2009-06-12,25.000000,26.264999,24.400000,24.934999,22.318539,372695
2009-06-15,24.750000,24.750000,23.900000,24.120001,21.589054,303189
2009-06-16,24.049999,24.809999,24.049999,24.500000,21.929182,448881
2009-06-17,24.350000,24.584999,23.834999,24.040001,21.517452,426309
2009-06-18,24.245001,24.370001,23.650000,23.930000,21.418991,268729
2009-06-19,24.184999,24.330000,23.705000,24.165001,21.629333,274723
2009-06-22,24.049999,24.305000,23.000000,23.030001,20.613430,213517
2009-06-23,22.850000,23.110001,22.400000,22.635000,20.259880,250586
2009-06-24,22.600000,23.780001,22.600000,23.410000,20.953558,377139
2009-06-25,23.650000,23.650000,22.879999,23.209999,20.774540,212758
2009-06-26,23.254999,23.530001,22.799999,23.025000,20.608955,329582
2009-06-29,23.139999,23.930000,22.920000,23.730000,21.239977,236380
2009-06-30,23.920000,24.500000,23.850000,24.155001,21.620384,408568
2009-07-01,24.325001,24.855000,24.290001,24.665001,22.076866,252923
2009-07-02,24.945000,25.424999,24.094999,24.650000,22.063440,581507
2009-07-03,24.844999,25.290001,24.670000,25.155001,22.515450,212665
2009-07-06,25.180000,27.340000,25.110001,26.410000,23.638760,998235
2009-07-07,26.610001,26.725000,25.650000,25.700001,23.003263,413532
2009-07-08,25.410000,25.555000,24.860001,24.990000,22.367764,207711
2009-07-09,24.990000,25.580000,24.955000,25.160000,22.519928,195317
2009-07-10,25.139999,25.475000,25.035000,25.150000,22.510975,193145
2009-07-13,25.190001,25.870001,25.180000,25.825001,23.115147,202978
2009-07-14,25.945000,25.950001,25.250000,25.545000,22.864529,156781
2009-07-15,25.625000,26.924999,25.625000,26.535000,23.750647,311932
2009-07-16,26.860001,27.000000,26.389999,26.790001,23.978889,239134
2009-07-17,26.795000,26.940001,26.469999,26.790001,23.978889,144142
2009-07-20,26.790001,27.004999,26.570000,27.004999,24.171328,406807
2009-07-21,27.100000,28.180000,27.000000,27.684999,24.779976,317206
2009-07-22,27.790001,27.790001,26.850000,27.100000,24.256359,282005
2009-07-23,26.980000,27.674999,26.834999,27.420000,24.542782,309421
2009-07-24,27.299999,27.975000,26.825001,27.555000,24.663616,236685
2009-07-27,27.670000,28.200001,27.400000,27.955000,25.021645,283830
2009-07-28,28.000000,28.230000,27.400000,28.230000,25.267786,244787
2009-07-29,28.295000,30.000000,28.125000,29.275000,26.203133,548954
2009-07-30,29.745001,30.795000,29.500000,30.504999,27.304070,317111
2009-07-31,30.745001,31.985001,30.610001,31.985001,28.628769,886306
2009-08-03,31.990000,32.779999,31.895000,32.490002,29.080782,248999
2009-08-04,32.355000,32.740002,31.330000,32.150002,28.776455,325799
2009-08-05,31.910000,32.625000,31.469999,31.795000,28.458708,236327
2009-08-06,32.345001,33.279999,31.985001,32.910000,29.456709,330914
2009-08-07,32.630001,32.820000,31.340000,32.485001,29.076302,315596
2009-08-10,32.400002,33.035000,32.145000,32.834999,29.389576,150033
2009-08-11,32.750000,33.250000,32.560001,32.560001,29.143436,295665
2009-08-12,32.610001,32.880001,31.825001,32.744999,29.309021,157112
2009-08-13,32.750000,33.650002,32.450001,33.439999,29.931095,156102
2009-08-14,33.480000,33.480000,32.764999,33.070000,29.599920,201637
2009-08-17,32.709999,33.299999,32.220001,32.290001,28.901764,265021
2009-08-18,32.330002,32.509998,30.889999,31.415001,28.118584,253231
2009-08-19,30.915001,31.014999,30.010000,30.485001,27.286167,516022
2009-08-20,30.605000,31.400000,30.605000,31.094999,27.832157,161916
2009-08-21,31.070000,31.700001,30.940001,31.629999,28.311020,144608
2009-08-24,31.555000,32.275002,31.514999,32.215000,28.834637,246502
2009-08-25,31.969999,33.134998,31.674999,32.950001,29.492514,226763
2009-08-26,32.785000,33.599998,32.764999,33.235001,29.747608,158623
2009-08-27,33.450001,33.845001,33.130001,33.500000,29.984798,279518
2009-08-28,33.685001,33.970001,33.220001,33.575001,30.051928,176284
2009-08-31,33.130001,33.174999,32.605000,32.740002,29.304552,151524
2009-09-01,32.900002,33.730000,32.790001,33.345001,29.846062,260379
2009-09-02,33.299999,33.744999,33.020000,33.529999,30.011650,246891
2009-09-03,33.805000,34.125000,33.660000,33.904999,30.347300,220599
2009-09-04,34.000000,34.070000,33.480000,33.860001,30.307024,166780
2009-09-07,33.959999,34.700001,33.740002,34.535000,30.911194,165703
2009-09-08,34.849998,35.200001,34.650002,35.060001,31.381111,342503
2009-09-09,34.610001,35.259998,34.610001,35.099998,31.416912,174320
2009-09-10,35.290001,35.450001,34.695000,35.200001,31.506414,283717
2009-09-11,35.154999,35.290001,33.500000,33.950001,30.387579,358910
2009-09-14,33.599998,34.834999,33.500000,34.705002,31.063362,184937
2009-09-15,34.845001,34.845001,33.950001,34.305000,30.705332,217113
2009-09-16,34.305000,34.880001,34.130001,34.680000,31.040979,182013
2009-09-17,34.900002,34.900002,34.439999,34.849998,31.193142,139010
2009-09-18,34.520000,34.849998,33.900002,33.900002,30.342829,272004
2009-09-21,33.849998,34.270000,33.625000,34.230000,30.638197,147494
2009-09-22,34.200001,34.369999,33.985001,34.279999,30.682949,162963
2009-09-23,34.384998,34.750000,34.139999,34.345001,30.741133,199529
2009-09-24,34.145000,34.290001,33.445000,33.900002,30.342829,493220
2009-09-25,33.900002,34.095001,33.584999,33.645000,30.114582,204192
2009-09-28,33.665001,34.435001,33.064999,34.320000,30.718752,477890
2009-09-29,34.750000,34.900002,33.955002,34.165001,30.580021,284398
2009-09-30,34.430000,35.389999,33.935001,34.500000,30.879871,432873
2009-10-01,34.500000,35.494999,33.435001,33.814999,30.266747,356094
2009-10-02,33.349998,33.490002,32.250000,33.084999,29.613342,315566
2009-10-05,33.080002,34.805000,33.044998,34.619999,30.987274,444864
2009-10-06,34.900002,36.099998,34.619999,35.884998,32.119541,614331
2009-10-07,36.000000,37.115002,35.814999,36.529999,32.696854,667738
2009-10-08,36.740002,37.650002,36.650002,37.500000,33.565075,677477
2009-10-09,37.500000,37.500000,36.599998,37.174999,33.274178,279575
2009-10-12,37.794998,38.455002,37.369999,38.145000,34.142391,481285
2009-10-13,37.869999,37.880001,35.700001,36.060001,32.276173,491015
2009-10-14,36.810001,37.000000,36.040001,36.575001,32.737137,550437
2009-10-15,36.365002,36.500000,34.610001,34.945000,31.278175,690868
2009-10-16,35.270000,35.389999,33.930000,34.185001,30.597921,594666
2009-10-19,34.180000,34.560001,33.849998,34.075001,30.499462,465687
2009-10-20,34.700001,34.730000,33.564999,33.779999,30.235413,360936
2009-10-21,33.500000,34.584999,33.130001,34.299999,30.700857,629072
2009-10-22,33.959999,34.830002,33.724998,34.310001,30.709805,632377
2009-10-23,35.160000,35.185001,34.494999,34.865002,31.206568,349400
2009-10-26,34.799999,34.799999,33.349998,33.505001,29.989275,555159
2009-10-27,33.840000,34.005001,33.369999,33.430000,29.922146,462603
2009-10-28,33.200001,33.200001,31.760000,31.760000,28.427380,672999
2009-10-29,31.440001,32.165001,31.084999,31.995001,28.637722,540546
2009-10-30,32.325001,33.169998,31.690001,31.940001,28.588490,451736
2009-11-02,31.584999,31.865000,30.840000,31.495001,28.190187,408760
2009-11-03,31.120001,31.350000,30.520000,31.209999,27.935089,283827
2009-11-04,31.254999,31.900000,31.080000,31.844999,28.503460,281675
2009-11-05,31.400000,31.930000,30.684999,31.615000,28.297594,331135
2009-11-06,31.670000,31.770000,31.094999,31.360001,28.069355,211200
2009-11-09,31.504999,31.799999,31.400000,31.629999,28.311020,147346
2009-11-10,31.750000,31.785000,30.969999,30.975000,27.724751,255912
2009-11-11,31.125000,31.590000,30.950001,31.500000,28.194660,168966
2009-11-12,31.500000,31.790001,31.270000,31.600000,28.284168,170057
2009-11-13,31.469999,32.430000,31.469999,32.430000,29.027075,304974
2009-11-16,32.525002,33.180000,32.320000,33.009998,29.546211,301937
2009-11-17,33.000000,33.205002,32.514999,32.740002,29.304552,163803
2009-11-18,32.755001,33.084999,31.930000,32.035000,28.673523,241402
2009-11-19,32.084999,32.279999,31.264999,31.370001,28.078306,241642
2009-11-20,31.400000,31.695000,30.420000,30.594999,27.384624,266642
2009-11-23,30.500000,30.995001,30.260000,30.495001,27.295118,782166
